x,y,z,nx,ny,nz
1.500000000000000000e+03,1.500000000000000000e+03,1.500000000000000000e+03,3.095405529913061726e-01,6.461342757839281248e-01,6.976353945371573939e-01
1.084615338264668935e+03,8.262027858192359417e+02,1.590000674686275943e+03,-3.093123562403874982e-01,8.681336286543275271e-01,-3.881621685281679834e-01
7.496970416403434001e+02,2.752889693509687277e+03,7.924405597601208910e+02,5.983178876747924368e-01,-6.725430762895818759e-01,4.355473749471122091e-01
1.108926056120184285e+03,7.773037847524929020e+02,1.574523940468153114e+03,3.737649319198021458e-01,-8.467379170630024987e-01,3.785956622503666713e-01
2.622037784786767247e+02,2.889000389942124002e+03,8.210124212139488691e+02,-8.308515495699904108e-01,1.174201629042404965e-01,-5.439652635239564660e-01
1.111005228869961456e+03,2.184944815166264561e+03,1.051546153524783449e+03,4.243638551554193006e-01,-8.860741230270423596e-01,1.865153262857723870e-01
3.016928780844701237e+02,2.910601946976188628e+03,8.124146769557002017e+02,-9.553379002919232255e-01,6.235375013691308449e-02,-2.888624345768808777e-01
2.349927258992666737e+02,2.087033431917382586e+03,8.747688271542874361e+01,6.723877207542494627e-01,7.401984344944130267e-01,-1.015160541832038849e-03
1.918468284941637648e+03,1.337994442558837591e+03,2.923819907158640490e+03,3.161378526393679445e-01,8.855158423220416131e-01,-3.404681352568172947e-01
1.053296571801542768e+03,2.313108340017804949e+03,2.375398504108424277e+03,-1.172800190604862264e-01,9.867345895152427326e-01,-1.122508217491418187e-01
1.113997697303474524e+03,2.931926389675897440e+02,2.182567645733736754e+03,-9.884512530599008917e-01,-1.280043037515163351e-01,-8.111114932856855475e-02
1.275870885877052615e+03,1.810419171933764574e+03,2.471547325369232567e+03,7.586802853734685437e-01,-6.443125976226543594e-01,-9.625747311445409515e-02
3.204679551615719220e+02,3.603037688822618634e+01,2.753824195955029609e+03,1.816690440562098163e-01,9.446666263595686619e-01,2.731324284557474780e-01
2.762399011041599806e+03,2.626997826244055432e+03,3.827764648561183662e+02,-2.582249355831028326e-01,8.826734770258430895e-01,-3.926925204256009327e-01
2.230258888397996998e+03,9.900455558110027141e+02,1.823556922117585145e+03,8.752723417848297105e-01,-4.826131586697613440e-01,3.135070629660474673e-02
4.934273280211343149e+00,2.151995902043009039e+02,1.261483489547765885e+03,-8.945378062073893188e-01,-4.469870523078297020e-01,-2.165256296317696894e-03
1.465527759261812889e+03,1.463321517532565622e+03,1.533294001837407222e+03,3.146463106566629309e-01,6.449945675890585983e-01,6.964048441608904350e-01
1.285587466246344093e+03,2.755805632537509155e+03,2.075262477972499710e+03,-1.236715675855846880e-01,-9.271842115114333760e-01,3.536025753509806080e-01
1.952200591766336174e+03,1.827146435710122432e+03,9.722577211579194909e+02,-2.160247639375354745e-01,7.160097007501153854e-01,-6.638248336703458374e-01
7.459927337068065754e+02,2.062676559179742981e+03,5.897603901474714121e+02,4.437943087058739411e-01,-5.601519525783972275e-01,6.994829530323699585e-01
1.612393721802116033e+03,7.381424929593937634e+01,1.978352323540031875e+03,1.001685884954272021e-01,6.095862508406050262e-01,7.863655998738301456e-01
1.903592889355198167e+03,2.410959806667251996e+03,2.984145314320681337e+03,-3.476236447356241266e-01,4.344025429291332313e-02,-9.366273249952126179e-01
1.088224269705644929e+03,5.322946245493583319e+02,3.277111288107981295e+02,-4.362110257515747214e-01,-1.114100393497194502e-01,-8.929209058728846404e-01
2.853074895934500091e+03,1.764293600672539597e+00,2.901530893417556854e+03,8.824464908971350052e-01,1.424724142578216723e-01,-4.483188618370639866e-01
1.845154547676469065e+03,2.141148432342385604e+03,2.958736239900783858e+03,-1.460780534706831169e-01,-9.857405472918502332e-01,-8.352709571737748639e-02
1.829044433909144800e+03,2.131367682463932397e+03,2.911886341724698468e+03,-1.947097277341243993e-01,-9.773584265781714020e-01,-8.281683356869184998e-02
1.941869959362102691e+03,1.351583560652500182e+03,2.975726764215317871e+03,5.236718502941359876e-01,7.951704062505532411e-01,-3.057316114386052774e-01
6.008251125959475303e+02,1.410835129411108483e+03,3.411968596646955802e+02,9.136316150990219098e-01,4.052681161054654257e-01,3.217181934364021778e-02
2.200810710380586897e+03,1.445585619534827629e+03,2.883710236419819012e+03,-1.628368252548824391e-01,8.476687128869780929e-01,5.049177373923843248e-01
2.339718785351959411e+02,2.145702597823880751e+03,8.184930558461121564e+01,8.973589823951537425e-02,9.742661768731243621e-02,-9.911889440127739093e-01
1.323236824207212749e+03,2.772975597639257558e+03,2.074751651581165788e+03,-3.422738014664555156e-02,-9.338096127976222016e-01,3.561293213076562880e-01
1.849606641453224483e+03,2.025012735095921926e+03,7.977050454105774406e+02,5.162028201971591290e-01,-4.575901018476002391e-01,-7.239792449453247292e-01
1.619073985720480323e+03,6.870543389325007411e+01,1.929784873506611802e+03,-1.599219369559486126e-02,6.828809786167111540e-01,-7.303545842837474433e-01
2.523970489622403420e+03,1.463659872374886618e+03,2.653812167761931505e+03,-9.991204814052137007e-01,3.447455683829482587e-02,-2.386982545846194625e-02
7.865644082440761622e+02,1.870353791983880456e+03,1.365542172247626240e+03,-5.416265677440703641e-01,-1.949681394224692665e-01,8.176968177288685968e-01
6.155848634738946430e+02,7.934289127119368459e+02,1.250920021943657730e+03,-8.121960319937941708e-02,-3.084947982211933004e-01,-9.477522542978205067e-01
6.012794629329454210e+01,2.033703653171826318e+03,1.094816277826622354e+03,-8.342886138724889822e-01,-4.723353516741838481e-02,-5.493009210972701339e-01
2.823106192613748135e+03,4.780930095643909539e+01,2.183680495282210359e+03,4.858838047001710070e-01,-4.997242561011854267e-01,7.170722391741315427e-01
1.225232332038911863e+03,2.227645725666613544e+03,2.401259262215759918e+03,-7.899170609061388626e-02,8.838592125930104793e-01,-4.610349256654615591e-01
2.580387950641431871e+03,2.842648922681793920e+03,4.620340040433281956e+02,-4.543385912551586303e-01,-9.477769182444797588e-03,8.907786573485032555e-01
2.279870608822916438e+03,2.776435908481246315e+03,7.815523402071925148e+02,5.196618724667945166e-01,1.816788082284096217e-01,-8.348319285610785734e-01
