x,y,z,nx,ny,nz
1.500000000000000000e+03,1.500000000000000000e+03,1.500000000000000000e+03,-3.415060615822037016e-01,-1.044324077384463506e-01,9.340596780273533462e-01
1.527454661009769325e+03,1.468055719222094240e+03,1.468025707192298796e+03,9.501880232160013484e-02,1.106098101309256482e-01,-9.893113246638640668e-01
1.493266699207630836e+03,1.424596311545505387e+03,1.438818741406345680e+03,-7.204801150122686244e-03,-9.993337862838603813e-01,-3.577812784301209054e-02
1.492007436635392878e+03,1.491040433358187556e+03,1.490322800959058213e+03,5.471249023119562072e-01,-6.105488276470137921e-01,5.726119718701219163e-01
2.812714751852825884e+03,1.565088367334873965e+03,3.245801486616920215e+02,-7.006591830925336106e-01,-2.045281192468014209e-01,-6.835531856304011278e-01
1.912830732377980894e+03,1.204486330770818768e+03,1.949415327058026833e+03,-6.966069748559965413e-01,-6.871828613806707509e-01,-2.061999941965346750e-01
1.536575271448842159e+03,1.449540972600477517e+03,1.424102093569473936e+03,4.410941375121367708e-04,2.546952228663167811e-02,9.996755017856807646e-01
1.422164863832552442e+02,2.788219959203606322e+03,7.084239640285907171e+02,5.496567336218223243e-01,5.578798770355667402e-01,6.218098728574276146e-01
2.056764630639173902e+03,2.841222087260083754e+03,9.470204747510275638e+02,-2.107056668891940376e-01,-6.239234049631994239e-01,7.525441559668823999e-01
2.713728263925936062e+03,1.129258421930791883e+03,2.540166821601472293e+03,-2.786487535554021955e-01,-8.392709865638382505e-01,4.668823012860761068e-01
2.399377136811598916e+02,1.339434887197695900e+02,2.855942338539685466e+02,2.892695419549288216e-01,-7.726192945639953624e-01,-5.651394144497622340e-01
1.927541136384263041e+02,2.831852016003610061e+03,4.886151581075812942e+02,9.355379328570444519e-01,-3.016715194755904550e-01,1.837473007226413657e-01
6.485608328582625859e+01,1.562023202549326015e+03,9.210380245154321983e+02,6.734523314565364904e-01,-3.201720332116687051e-01,6.662971007027280734e-01
2.493406299227572163e+03,2.360259439277896490e+03,2.068932328602156758e+03,8.805892559599682867e-01,-3.661044283690281786e-01,3.008822191763025344e-01
1.444379822117533649e+03,2.782225836793517828e+03,5.322239477251142716e+02,7.052336194404046354e-01,-1.452169549603904708e-01,-6.939434977020958462e-01
2.657391286319418214e+03,1.636130745040616830e+03,1.113318538537371523e+03,5.227790339970548317e-01,4.465541845588636427e-01,-7.261483607817857955e-01
5.797172556731758277e+02,8.779800465006371013e+00,2.630378568541648292e+03,-4.853745464605317417e-01,-8.076576475609066261e-03,8.742690195590065994e-01
1.464513264912023942e+03,1.176267248869145021e+01,1.386988087262700901e+03,-2.546036491300381344e-01,6.575630291690074403e-01,-7.090753447411266563e-01
3.425546029152853578e+01,1.549579751601358566e+03,8.956485733422905469e+02,4.257711467679546335e-01,2.707347376474560918e-01,8.633780356314746385e-01
6.896907086940836962e+02,1.105846831190135902e+02,2.531472453495363766e+02,-8.185045542718826228e-01,-4.740063011979168128e-01,3.246048691268454967e-01
2.713129870388313520e+03,5.015298429658832191e+01,2.690075568852388642e+03,-7.508379586504316805e-01,-6.604403751218272944e-01,7.801971455524858712e-03
1.415904202944102053e+03,1.903708465538708879e+03,1.475362906589979502e+03,4.650420999768768437e-01,-1.981483510913416568e-01,8.628285323335562751e-01
1.228906470124373755e+03,2.432511345017228905e+03,1.547315037082327763e+03,6.861951746445859035e-01,-7.271251109070832053e-01,-2.062172114175386817e-02
