x,y,z,nx,ny,nz
1.500000000000000000e+03,1.500000000000000000e+03,1.500000000000000000e+03,8.328344845342381397e-01,1.092115173407390977e-01,5.426412865334920843e-01
1.521272685301692718e+03,1.538187942051351229e+03,1.526686307588600584e+03,7.632011370703181141e-01,1.274894379098430175e-01,6.334591285915813774e-01
2.056079455103391865e+03,2.860180038584809608e+03,1.184479898374335427e+01,3.832714943863519408e-01,-9.233137908885472589e-01,2.438452677155322768e-02
1.509859075762859902e+03,1.445976139325117174e+03,1.490373308980200818e+03,-7.135270577041994411e-01,-1.382358728291332717e-01,-6.868551385751989757e-01
2.027967607101753856e+03,2.821283640344085143e+03,1.310628844067178989e+01,-1.308679723196336242e-01,3.400792160086364979e-01,9.312463157832620020e-01
1.551741650083159811e+03,1.527128098751715470e+03,1.489454499539041308e+03,6.035591091570376987e-01,1.573132051824308875e-01,7.816450327538667642e-01
1.533872342468038823e+03,1.403561021633365954e+03,1.521138283829513966e+03,-8.175974439689936979e-02,-9.897252637954744303e-01,1.172998141564265823e-01
2.021487767389990950e+03,2.887882772121119615e+03,0.000000000000000000e+00,2.282635343434712138e-02,-2.863571989462754958e-02,9.993292516158059913e-01
2.463316973510785374e+03,4.534560589276915721e+02,1.152343346076598664e+03,4.574489357248216481e-01,-3.563915611403336431e-02,8.885214244776022952e-01
2.415956346263903015e+03,4.233159700690380305e+02,1.156232662129436676e+03,-6.700123831402633734e-02,9.936407040039254568e-01,-9.049301305056940692e-02
1.071545275903608854e+03,2.388392704678925611e+02,9.163797550284548379e+02,1.403619085307643566e-01,-9.304164278915062480e-01,-3.385613760357360502e-01
1.288476535294915038e+03,9.447806155280649136e+02,1.909473429202633952e+03,9.169343700361185512e-01,2.545477713364526218e-01,-3.073056998399339990e-01
2.440869947402781236e+03,4.514189725686129577e+02,1.187630992778514610e+03,1.544888931651562831e-02,-3.173628011008637895e-01,-9.481783504680433294e-01
1.455678342117719239e+03,1.506982113655518788e+03,1.505929478896274532e+03,-5.054611152057447016e-02,9.719071456013665955e-01,-2.298729887114920600e-01
1.098130983003682104e+03,1.942510387698364980e+02,8.988503192859784576e+02,2.374906359894494307e-02,-4.944416765080635878e-01,8.688863047085439995e-01
1.458490460804145187e+03,1.475090181155078653e+03,1.523533562632025905e+03,9.472503193449870462e-01,6.323452792078877727e-02,3.141945686663842330e-01
1.051969173849398885e+03,1.689572053478234920e+03,8.991896172736885546e+02,-4.624112490619711191e-01,-8.863223518523303257e-01,2.466830654709850634e-02
1.514330104619928647e+02,1.013447661194038346e+03,3.241913183383576893e+02,5.776181123844693621e-01,-5.039282596474097264e-01,-6.421943828578191571e-01
2.479353077865862815e+03,5.027543863375826163e+02,1.200489530492762469e+03,-2.054117172041386441e-02,-3.173337110381305726e-01,-9.480914386825358697e-01
1.935216379404725558e+03,1.458840187902167429e+02,7.458375234083083569e+02,1.448959029402869803e-01,9.858048733479031212e-01,8.481703245600848151e-02
2.013030968289941029e+03,2.837330124179416998e+03,0.000000000000000000e+00,-2.735255935732863741e-02,9.222649827655814148e-02,9.953623011307228818e-01
1.139151128530927508e+02,2.451530111972894247e+03,2.437394560326259125e+03,-5.462681597112323262e-01,5.597336381223879664e-01,-6.231286801616333637e-01
2.463401104830658824e+03,4.027751057550086671e+02,1.188379294346656707e+03,3.280112102760785516e-03,-9.940531554685285709e-01,1.088465202367755319e-01
2.400206252082435640e+03,1.695379061873413548e+03,1.768043135041822097e+03,-7.337823138440355830e-01,3.114332403528857762e-01,-6.037986855674621900e-01
1.118853639496897756e+02,1.048263465271478935e+03,3.302690571732055105e+02,-1.629526115736042724e-01,-6.125882417104420163e-01,7.734223248002679574e-01
2.514783962111078381e+03,1.797155392384477864e+03,2.348144454734913325e+03,-5.716181047022327322e-01,-4.329181711558596768e-01,6.970183637894292739e-01
1.988809686024947268e+03,2.883756489957764643e+03,2.097560442923166946e+01,7.722039136817974905e-04,9.927342753953368737e-01,-1.203248193699516244e-01
1.451895322752988591e+02,9.848146114160000479e+02,2.836136014982915867e+02,3.356213992913287258e-02,-8.146581306069563544e-01,5.789695268313839183e-01
6.178507751069175811e+02,1.721328694353606579e+03,8.814946656113040717e+02,3.138340810525308555e-01,-8.969419691283929685e-01,3.114534854291963750e-01
2.005191625063018819e+03,2.943491780282392028e+03,0.000000000000000000e+00,-1.231463579496287894e-03,9.996788529644250465e-01,-2.531154742768085622e-02
2.785487670363528650e+03,8.341492728080457937e+02,1.343126591464897274e+03,-6.255649811470177513e-01,7.485851035530579622e-01,2.197471208025010558e-01
1.992006535443689927e+03,2.895878378678848549e+03,4.496168923741178958e+01,6.178475652983268507e-01,-6.959243301256541336e-01,-3.659968753884237369e-01
2.429674996200536043e+03,1.210409521441998095e+03,7.329793494949232979e+01,-1.065142261006937346e-01,6.923446740655513354e-01,7.136620852555051187e-01
1.467145782649519788e+03,1.531781192704460864e+03,1.447372348386339127e+03,-8.147367776776297532e-01,-1.144023376085406829e-01,-5.684330112239910360e-01
1.491872892497193789e+03,1.588791955502312248e+03,1.436297848027758619e+03,-6.343088874537013977e-01,-1.525308693379575087e-01,-7.578829521741826669e-01
2.760393830930511285e+03,8.082342941542300423e+02,1.370575858981307647e+03,-5.004308495295129583e-02,3.406465238794341710e-01,-9.388586876720318442e-01
1.469203966566307145e+02,1.066905641741676391e+03,3.486330052061252900e+02,-1.343331082484279793e-01,-6.479406968507736009e-01,7.497516051285585403e-01
1.376172687569591062e+03,2.924437498190007318e+03,2.041723123333334115e+03,7.558915640030960947e-01,2.285932029702740509e-01,-6.134925354270779341e-01
1.411797314754974195e+03,1.491337463720639562e+03,1.514582508078914543e+03,-3.388194730242967134e-01,-1.608598109602140877e-03,9.408500290225109142e-01
2.069812883741949463e+03,2.890685764484984702e+03,1.390388579836971772e+01,2.438378800069221104e-03,9.908111515525945823e-01,1.352306040356576478e-01
1.399251672824829939e+03,2.943125867695516718e+03,2.074114483699346238e+03,-1.449528444121031268e-01,-9.635085957973710258e-01,-2.250330169584430495e-01
1.875189289408768900e+02,9.789002832028955936e+02,3.327109505193226369e+02,1.676967313641625212e-01,-8.991247273215475788e-01,4.042926304160498474e-01
1.328905549821283557e+03,9.813389565788831987e+02,1.922029609502859330e+03,1.529317423941806975e-01,-4.440832151831447527e-02,9.872384631628804419e-01
1.464127543682155419e+03,1.591930620779643505e+03,1.393966235988346853e+03,-3.165865462457242985e-02,-9.867336577584211454e-01,1.592307075725318266e-01
1.978889996951076228e+03,2.934569375043785840e+03,4.741264224532254268e+00,-2.179655299454259527e-03,9.977564867302122220e-01,-6.691219836890410777e-02
1.939999251259020411e+03,1.314275801714339025e+02,6.942175767875951351e+02,-1.468904744807721791e-02,-1.465746765879077061e-02,-9.997846720803933440e-01
4.297575327155459490e+02,2.099681953587758471e+03,1.738494180301641734e+02,-8.716819592589697407e-01,-5.666617899400888669e-02,-4.867848663020069022e-01
1.477822763744419717e+03,1.551569516635711352e+03,1.522825891229696936e+03,-4.679847557104944641e-03,-1.391938601416622678e-01,-9.902540928093686023e-01
1.456750834510283767e+03,1.547490018952640412e+03,1.429995406446717197e+03,2.012229520875808992e-03,2.217053996647832537e-01,9.751116175555668564e-01
1.023323535534450343e+03,1.659170790864589662e+03,9.355121754584403106e+02,-5.383356868038590565e-02,-7.555272794799612612e-02,9.956875675545769910e-01
1.124942464132706164e+03,2.214874396625202166e+02,8.572049152982190208e+02,-2.363357312494926699e-01,4.805704089693498271e-01,-8.445102155437786973e-01
1.031429683645754267e+03,2.540073352436511556e+01,3.962457795625861081e+02,4.279346250120538708e-01,-7.831940579890553922e-01,4.510864930879985302e-01
2.010554392739017828e+02,3.355645393758236423e+02,8.857944035502883935e+02,-3.482178375476266408e-01,-5.875484751978925502e-01,-7.304321507890285670e-01
2.413190882142133432e+03,4.561401348192172236e+02,1.175675973741086864e+03,1.365775664445658018e-02,9.976870406741444874e-01,6.658854672020475540e-02
1.439966745961739662e+03,1.570845908059292924e+03,1.351260717595317146e+03,-4.958008647907603123e-02,-9.860143749926811862e-01,1.591146358212208456e-01
2.454198058476091774e+03,1.683269608069283777e+03,1.779865141289754547e+03,2.514262282167547546e-01,-9.416544061456523229e-01,-2.237673594409498035e-01
2.478138874893760658e+03,5.635319294790720051e+02,1.189651145899850690e+03,2.010538165353894288e-03,-9.126780479933805923e-01,4.086743672501104152e-01
