x,y,z,nx,ny,nz
1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+03,-3.047239273090033285e-01,5.383186173448812895e-01,7.857203028720032290e-01
8.339325145049980392e+01,2.153133598719358872e+02,1.190104128412480577e+03,-8.711191371448366860e-01,4.874373278150573308e-01,5.963472438564321187e-02
1.245038864392180358e+03,8.762828522177482000e+02,1.471764212697380344e+03,-8.791665066824146946e-01,-4.751473507203953228e-01,3.607282399853750654e-02
1.980448542746832800e+03,1.639716393843682681e+03,8.264018696323615814e+02,2.943935341128346983e-01,-5.890866266125733830e-01,7.525353104132549431e-01
1.437274473128388536e+03,1.604341124848950813e+03,1.472813287622877851e+03,-8.784440844992028596e-01,-2.310662971295736334e-01,4.182635015623346053e-01
1.915294590939336786e+03,8.065125974698397613e+02,4.339023206471201775e+02,9.000504381920798602e-01,-3.277247171360897493e-02,4.345516929066388645e-01
1.342618863878560887e+03,1.198011826278233002e+03,1.434664291111026159e+03,-2.893199109682944581e-01,3.888386905914069658e-01,8.746990692898091169e-01
8.049450180735460663e+02,1.493021434369969938e+03,1.448141134823376660e+03,9.800243496527423215e-01,-6.549267320599592990e-02,-1.877844078832213714e-01
7.476168682007058806e+02,1.419257212338404088e+03,1.649171066234169700e+02,1.280921166981157100e-01,-9.707111594681727684e-01,-2.032541623774335726e-01
5.677187671153947122e+02,3.790843807407611052e+02,9.425019294706301025e+02,-9.038787061507456977e-02,-9.395072437795228826e-01,-3.303879109947529535e-01
6.622081482421752980e+02,1.688456841645137729e+03,1.230048068644752220e+03,6.305014293216999466e-01,-9.356443277099431299e-02,7.705281594747432905e-01
3.616492521718785724e+02,1.236821016909176706e+03,9.522177465466883177e+02,-5.002893751216391099e-02,-9.801802477286069015e-01,-1.916866906545438010e-01
1.366459660975283214e+03,2.785432109819448101e+02,1.405650114796822436e+03,1.659015129464816440e-01,4.404299510741575552e-01,-8.823254196717238429e-01
8.102049147279832368e+02,2.965830652018863702e+02,1.364574261349167500e+03,-4.413842130939926722e-01,-5.934818387984324151e-01,-6.730224984707631197e-01
8.275100260180346368e+01,1.917445200631947500e+03,1.324409616268631282e+02,-5.425056687207626682e-01,8.396533842855125052e-01,2.588037217127681436e-02
1.688854674237578593e+03,1.207733113414211402e+03,1.174427381951470579e+03,-1.581248745154438251e-01,-6.231707154321611819e-01,-7.659339289307163234e-01
9.807355865143192659e+02,7.321706087202150570e+01,6.308071511775419822e+02,-6.417517739905420626e-01,-2.469622535229560323e-01,7.260608141986837349e-01
7.356493178682244434e+02,1.656313370197894301e+03,5.527009188652780267e+02,-6.120164492124923195e-01,-2.547727560753011988e-01,-7.486833166667519190e-01
1.550069856612716649e+03,3.588126910790780926e+02,1.566513342674991009e+03,9.429944788201076733e-01,2.531967449629231037e-01,2.159926416685853390e-01
1.336275469653884102e+03,1.876785213333168940e+03,1.572011717623926643e+03,-8.653791890034773227e-01,1.603667593636699806e-02,5.008609430416748332e-01
1.633734992891486854e+03,2.724748838367818848e+01,1.100082371430209832e+03,7.518954870900740328e-01,6.456050974518212637e-01,1.335935426501024814e-01
1.149448449934047858e+03,9.709705315813794186e+02,6.028441942702795586e+02,-2.605760195583451400e-01,-2.914577575853362079e-01,-9.204088839067430250e-01
2.321168883077473311e+01,5.533331773570627092e+02,6.030910801883225076e+02,7.018153391989878642e-01,3.141145694718460724e-01,-6.393647369933115332e-01
8.014969484566323672e+02,4.916297026135056853e+02,1.047544375712002193e+03,5.207956075958707354e-01,-6.990306819595907273e-01,-4.900286122135699696e-01
1.246299902272150121e+03,1.946145009758532296e+03,7.094950590837177060e+02,8.272431764587221403e-01,-1.113041777635208340e-01,-5.507087315585890153e-01
1.963362777475001394e+03,1.937332160630888211e+03,1.410207871442776195e+03,-2.093123939489623109e-01,-1.795224757626587841e-01,-9.612283820380045363e-01
2.588714145080528510e+02,7.325222698060545099e+02,4.001870102284401582e+02,7.748084947370689202e-01,-3.400329706733487001e-01,5.329628273513407066e-01
5.121272086153694545e+02,5.323960903883189530e+02,2.846554268002267918e+02,6.446362245455292996e-03,4.295950810881612458e-01,9.029986216593337556e-01
9.787817613150706109e+01,4.762613424208097399e+02,1.765649511125410299e+03,-2.062217584614366717e-01,-3.077019345666603956e-01,9.288660322140149805e-01
1.186719453960050146e+02,1.728872969864621837e+03,3.102817948415048477e+02,-8.470549646321895443e-01,-2.646989906133249137e-01,-4.609038199670807967e-01
1.689356171269246715e+03,1.004429765093004107e+03,9.693787864758552359e+02,5.046513647305231887e-01,-2.973024862910965682e-01,8.105172618277496355e-01
3.753378446226429332e+01,1.340579392349544605e+03,5.411268167730265759e+02,1.946286584170207334e-01,1.361131634387145739e-01,-9.713870969193982852e-01
2.410964540350941547e+02,4.141779950960942074e+02,1.490110931573745802e+03,7.532949641947125352e-01,6.516843422775466799e-01,-8.862400887552103479e-02
