q,I_avg,P_avg,S_eff
9.799999999999999822e-01,1.190359366975046229e+06,1.181235476593076601e+04,1.007724023332151164e+00
9.899999999999999911e-01,1.179523434370571747e+06,1.156161060816954705e+04,1.020206850364869355e+00
1.000000000000000000e+00,1.145626849024316296e+06,1.130470681869669534e+04,1.013406952871683586e+00
1.010000000000000009e+00,1.106444030558225466e+06,1.104452631968151763e+04,1.001803063827667373e+00
1.020000000000000018e+00,1.072485634577428922e+06,1.078628186666919828e+04,9.943052182713005838e-01
1.030000000000000027e+00,1.040344924795573577e+06,1.053606094773131554e+04,9.874135409396871399e-01
1.040000000000000036e+00,9.974709092537047109e+05,1.029926528178776425e+04,9.684874425145033605e-01
1.050000000000000044e+00,9.697660037198513746e+05,1.007931759472333397e+04,9.621345836225437820e-01
1.060000000000000053e+00,9.812090330442000413e+05,9.876921338640002432e+03,9.934361117219417947e-01
1.070000000000000062e+00,9.981512332961721113e+05,9.690011055590808610e+03,1.030082656841007971e+00
1.080000000000000071e+00,9.878893702295251423e+05,9.514360557848614917e+03,1.038313993066609653e+00
1.090000000000000080e+00,9.595431286136906128e+05,9.344664162077695437e+03,1.026835327595492231e+00
1.100000000000000089e+00,9.289506575833322713e+05,9.175807093188512226e+03,1.012391224171355297e+00
1.110000000000000098e+00,8.979827498210959602e+05,9.004014643988850366e+03,9.973137376232458218e-01
1.120000000000000107e+00,8.672914775695005665e+05,8.827617390767432880e+03,9.824751562936759886e-01
1.130000000000000115e+00,8.408375081431206781e+05,8.647275987520279159e+03,9.723726978954003730e-01
1.140000000000000124e+00,8.242088946545132203e+05,8.465645395879731950e+03,9.735925096220773289e-01
1.150000000000000133e+00,8.319895111035769805e+05,8.286591170261406660e+03,1.004019015791907554e+00
1.160000000000000142e+00,8.424319309416923206e+05,8.114168794384715511e+03,1.038223325505237549e+00
1.169999999999999929e+00,8.142411336058860179e+05,7.951620113504814981e+03,1.023994006231511156e+00
1.179999999999999938e+00,7.686285060907959705e+05,7.800621846250256567e+03,9.853426063208976515e-01
1.189999999999999947e+00,7.404701433301515644e+05,7.660948117704776450e+03,9.665515703192057995e-01
1.199999999999999956e+00,7.344460722251045518e+05,7.530602197036014331e+03,9.752819934030996230e-01
1.209999999999999964e+00,7.408542077234332683e+05,7.406359119207962067e+03,1.000294741044990721e+00
1.219999999999999973e+00,7.405026370062639471e+05,7.284567613401277413e+03,1.016536157402088802e+00
1.229999999999999982e+00,7.224220453674073797e+05,7.162007458194692845e+03,1.008686530395636050e+00
1.239999999999999991e+00,6.978460412396839820e+05,7.036596975212967664e+03,9.917379717751465540e-01
1.250000000000000000e+00,6.897198450609993888e+05,6.907792313669587202e+03,9.984663894659037142e-01
1.260000000000000009e+00,6.917539758325549774e+05,6.776601731893353644e+03,1.020797743767187349e+00
1.270000000000000018e+00,6.812273579232762568e+05,6.645233158517325137e+03,1.025136878831909515e+00
1.280000000000000027e+00,6.580218594557031756e+05,6.516478816745081531e+03,1.009781322030566919e+00
1.290000000000000036e+00,6.345395803887782386e+05,6.392997035392160797e+03,9.925541602411429576e-01
1.300000000000000044e+00,6.268783902559797280e+05,6.276666880803904860e+03,9.987440821069832886e-01
1.310000000000000053e+00,6.334555701994278934e+05,6.168164480709298914e+03,1.026975808087699837e+00
1.320000000000000062e+00,6.234855094651052495e+05,6.066849448377675799e+03,1.027692404056326447e+00
1.330000000000000071e+00,5.979076498170902487e+05,5.970971698761220978e+03,1.001357366910876845e+00
1.340000000000000080e+00,5.851008085197003093e+05,5.878132531420934356e+03,9.953855334021578516e-01
1.350000000000000089e+00,5.722350347973300377e+05,5.785877077587107124e+03,9.890203803568706764e-01
1.360000000000000098e+00,5.455797507604404818e+05,5.692270450911340959e+03,9.584571841155092864e-01
1.370000000000000107e+00,5.333819087900130544e+05,5.596321398043890440e+03,9.530937750938475173e-01
1.380000000000000115e+00,5.440704107294281712e+05,5.498160356874278477e+03,9.895499138165076980e-01
1.390000000000000124e+00,5.563665914169815369e+05,5.398941802123405978e+03,1.030510444098809097e+00
1.400000000000000133e+00,5.671455897432971979e+05,5.300507702655884714e+03,1.069983521501387536e+00
1.410000000000000142e+00,5.636241726013319567e+05,5.204903801740149902e+03,1.082871449829478250e+00
1.419999999999999929e+00,5.353482371554836864e+05,5.113870873150274747e+03,1.046855210924978907e+00
1.429999999999999938e+00,5.130368632423931849e+05,5.028433100414539695e+03,1.020271828216425591e+00
1.439999999999999947e+00,5.106800826705168001e+05,4.948676760553549684e+03,1.031952797445176095e+00
1.449999999999999956e+00,5.035861439509491320e+05,4.873762728327605146e+03,1.033259458906303552e+00
1.459999999999999964e+00,4.882231810017541284e+05,4.802158710197540131e+03,1.016674396797832447e+00
1.469999999999999973e+00,4.837074939932096750e+05,4.732025594994178391e+03,1.022199656960656844e+00
1.479999999999999982e+00,4.821700251708682626e+05,4.661658790853046412e+03,1.034331440381193179e+00
1.489999999999999991e+00,4.671618486377205700e+05,4.589877001823511819e+03,1.017809079528976257e+00
1.500000000000000000e+00,4.522740088075751555e+05,4.516268404161764010e+03,1.001432971500990421e+00
1.510000000000000009e+00,4.495334631449034205e+05,4.441242256145244937e+03,1.012179559723170419e+00
1.520000000000000018e+00,4.466610284325483954e+05,4.365882636484477189e+03,1.023071542738976492e+00
1.530000000000000027e+00,4.388137551150547224e+05,4.291648224886875141e+03,1.022483046421218678e+00
1.540000000000000036e+00,4.312183041187192430e+05,4.219996674468015954e+03,1.021845127811812137e+00
1.550000000000000044e+00,4.178516314295365009e+05,4.152026527366070695e+03,1.006379965723894099e+00
1.560000000000000053e+00,4.079573629630370415e+05,4.088221282292481192e+03,9.978847395811066834e-01
1.570000000000000062e+00,4.152014942812088993e+05,4.028352132586206608e+03,1.030698113311780073e+00
1.580000000000000071e+00,4.176432812159328023e+05,3.971555603852642435e+03,1.051586136200118426e+00
1.590000000000000080e+00,4.020186418689080747e+05,3.916559941052614249e+03,1.026458545048749116e+00
1.600000000000000089e+00,3.882743456696529174e+05,3.861999787919186019e+03,1.005371224732386493e+00
1.610000000000000098e+00,3.818269076542289695e+05,3.806740269434182210e+03,1.003028524746139682e+00
1.620000000000000107e+00,3.740531208374495036e+05,3.750132726039863883e+03,9.974396859079950328e-01
1.630000000000000115e+00,3.704964794496924151e+05,3.692143944855749396e+03,1.003472467442402483e+00
1.640000000000000124e+00,3.740300122926191543e+05,3.633333340171936470e+03,1.029440398867777162e+00
1.650000000000000133e+00,3.756119049454638152e+05,3.574689845719344703e+03,1.050753830840052805e+00
1.660000000000000142e+00,3.693370111790337833e+05,3.517373221581245161e+03,1.050036455935140278e+00
1.670000000000000151e+00,3.563316053422545665e+05,3.462425396433542574e+03,1.029138723708798331e+00
1.679999999999999938e+00,3.377402955077962833e+05,3.410521886457620894e+03,9.902891896072664180e-01
1.689999999999999947e+00,3.199794586637529428e+05,3.361820889404129503e+03,9.518040050029795696e-01
1.699999999999999956e+00,3.126567869807956740e+05,3.315942004446931151e+03,9.428897928899211411e-01
1.709999999999999964e+00,3.135112923679793603e+05,3.272074323771988020e+03,9.581423321905756518e-01
1.719999999999999973e+00,3.144483943851474323e+05,3.229182815376095277e+03,9.737708032133336467e-01
1.729999999999999982e+00,3.113363509056420298e+05,3.186259751670983405e+03,9.771216886582038130e-01
1.739999999999999991e+00,3.023640147355239606e+05,3.142559361772248849e+03,9.621584827120195360e-01
1.750000000000000000e+00,2.914446848124699318e+05,3.097760390379000910e+03,9.408238471821012139e-01
1.760000000000000009e+00,2.872546870582032716e+05,3.052020676394263774e+03,9.411950884866657763e-01
1.770000000000000018e+00,2.899564671122721629e+05,3.005915072432410852e+03,9.646196253896057726e-01
1.780000000000000027e+00,2.903526983480048366e+05,2.960276217672116218e+03,9.808297503275913432e-01
1.790000000000000036e+00,2.881297713033825275e+05,2.915980092075112680e+03,9.881060988257275302e-01
1.800000000000000044e+00,2.872508935932581662e+05,2.873729803678111239e+03,9.995751626530905432e-01
1.810000000000000053e+00,2.825283507325198734e+05,2.833889372914948126e+03,9.969632316377624592e-01
1.820000000000000062e+00,2.759240756940544816e+05,2.796405298835424674e+03,9.867098871861110787e-01
1.830000000000000071e+00,2.749156391252768808e+05,2.760831236210536645e+03,9.957712572921363359e-01
1.840000000000000080e+00,2.721491098214567755e+05,2.726445867927942800e+03,9.981827001329240945e-01
1.850000000000000089e+00,2.627297819024085766e+05,2.692432157612704941e+03,9.758083640456992613e-01
1.860000000000000098e+00,2.559529692237778509e+05,2.658072713370117981e+03,9.629268903605731067e-01
1.870000000000000107e+00,2.531490065198350349e+05,2.622913875077800185e+03,9.651441815348443809e-01
1.880000000000000115e+00,2.479488550589522347e+05,2.586860429351564562e+03,9.584933622456945912e-01
1.890000000000000124e+00,2.456022361526538152e+05,2.550180905807646013e+03,9.630777000695612822e-01
1.900000000000000133e+00,2.489380383476644638e+05,2.513425571598637362e+03,9.904333001169002282e-01
1.910000000000000142e+00,2.480671705692169198e+05,2.477280065735566041e+03,1.001369098312102190e+00
1.920000000000000151e+00,2.432353820633618161e+05,2.442392170795640141e+03,9.958899515474813890e-01
1.929999999999999938e+00,2.387017878425688832e+05,2.409214258414365759e+03,9.907868800331252057e-01
1.939999999999999947e+00,2.326304579536766396e+05,2.377898612458046955e+03,9.783026775611985970e-01
1.949999999999999956e+00,2.271322597502465942e+05,2.348268787044074998e+03,9.672328014722427758e-01
1.959999999999999964e+00,2.256321405171844235e+05,2.319871076283382536e+03,9.726063781038428724e-01
1.969999999999999973e+00,2.269569135588472127e+05,2.292090809912928762e+03,9.901741788645310738e-01
1.979999999999999982e+00,2.267067981331594347e+05,2.264303191049528778e+03,1.001221033602299526e+00
1.989999999999999991e+00,2.249910123174883774e+05,2.236021194825430939e+03,1.006211447539761439e+00
2.000000000000000000e+00,2.233774108718970674e+05,2.207005095349336898e+03,1.012129112626899863e+00
