r_nm,g(r),H0(r)=g-1,H2(r)=g*C2,count_pairs
3.425000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.475000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.525000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.575000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.625000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.675000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.725000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.775000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.825000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.875000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.925000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.975000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.025000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.075000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.125000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.175000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.225000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.275000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.325000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.375000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.425000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.475000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.525000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.575000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.625000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.675000000000000000e+01,1.137828813319621303e-03,-9.988621711866804143e-01,-3.868350408675504245e-04,1.000000000000000000e+00
4.725000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.775000000000000000e+01,1.090670096021869890e-03,-9.989093299039781826e-01,-4.831114452959556433e-04,1.000000000000000000e+00
4.825000000000000000e+01,4.272730626107958639e-03,-9.957272693738919989e-01,3.396683335914143674e-04,4.000000000000000000e+00
4.875000000000000000e+01,5.231917918865724819e-03,-9.947680820811343194e-01,-6.928172793722238995e-04,5.000000000000000000e+00
4.925000000000000000e+01,1.640392105871270670e-02,-9.835960789412873106e-01,-6.071093567573725494e-04,1.600000000000000000e+01
4.975000000000000000e+01,3.315644252690933685e-02,-9.668435574730906978e-01,4.050943190168133402e-03,3.300000000000000000e+01
5.025000000000000000e+01,9.159061475920315942e-02,-9.084093852407968406e-01,4.309860226317584024e-03,9.300000000000000000e+01
5.075000000000000000e+01,1.506234749832298103e-01,-8.493765250167701897e-01,-2.686836853224669908e-03,1.560000000000000000e+02
5.125000000000000000e+01,1.836767338478744460e-01,-8.163232661521255817e-01,-6.040519476461703695e-03,1.940000000000000000e+02
5.175000000000000000e+01,2.943599439901212755e-01,-7.056400560098787800e-01,1.050036808555584534e-03,3.170000000000000000e+02
5.225000000000000000e+01,4.071693617481126348e-01,-5.928306382518873097e-01,-1.888449363120779266e-03,4.470000000000000000e+02
5.275000000000000000e+01,5.576732580655349159e-01,-4.423267419344650841e-01,-3.836557884699538876e-03,6.240000000000000000e+02
5.325000000000000000e+01,6.349499592151701677e-01,-3.650500407848298323e-01,-8.972806920623754151e-03,7.240000000000000000e+02
5.375000000000000000e+01,7.910405229932494509e-01,-2.089594770067505491e-01,1.968746952101490914e-03,9.190000000000000000e+02
5.425000000000000000e+01,8.998917708640473689e-01,-1.001082291359526311e-01,2.317005271390931449e-03,1.065000000000000000e+03
5.475000000000000000e+01,9.963568662734633152e-01,-3.643133726536684769e-03,-9.282415245526288994e-03,1.201000000000000000e+03
5.525000000000000000e+01,1.151112459761512552e+00,1.511124597615125520e-01,-2.519969333335473835e-02,1.413000000000000000e+03
5.575000000000000000e+01,1.280178110091860555e+00,2.801781100918605549e-01,-1.866721639001974256e-02,1.600000000000000000e+03
5.625000000000000000e+01,1.317252763565514240e+00,3.172527635655142397e-01,2.772480776409633196e-02,1.676000000000000000e+03
5.675000000000000000e+01,1.415372948666984376e+00,4.153729486669843762e-01,-2.429047463715648984e-04,1.833000000000000000e+03
5.725000000000000000e+01,1.635070376056112940e+00,6.350703760561129396e-01,3.401970927953371082e-03,2.155000000000000000e+03
5.775000000000000000e+01,1.662803934966204933e+00,6.628039349662049329e-01,2.039029992438238029e-02,2.230000000000000000e+03
5.825000000000000000e+01,1.799284317682233292e+00,7.992843176822332918e-01,-1.909899882140576877e-02,2.455000000000000000e+03
5.875000000000000000e+01,1.842277906228955819e+00,8.422779062289558194e-01,2.794181543136269735e-02,2.557000000000000000e+03
5.925000000000000000e+01,1.901279474704227868e+00,9.012794747042278676e-01,-1.144011195609467672e-02,2.684000000000000000e+03
5.975000000000000000e+01,2.063238307444696495e+00,1.063238307444696495e+00,1.989513415719562552e-03,2.962000000000000000e+03
6.025000000000000000e+01,2.075034532055882952e+00,1.075034532055882952e+00,-3.967589827988217584e-03,3.029000000000000000e+03
6.075000000000000000e+01,2.158937652061985624e+00,1.158937652061985624e+00,9.107722388226711582e-03,3.204000000000000000e+03
6.125000000000000000e+01,2.208680842907935649e+00,1.208680842907935649e+00,-1.459915838645710340e-02,3.332000000000000000e+03
6.175000000000000000e+01,2.292406140766166001e+00,1.292406140766166001e+00,-5.875011789662772967e-03,3.515000000000000000e+03
6.225000000000000000e+01,2.347497547741783208e+00,1.347497547741783208e+00,1.106040269792953404e-02,3.658000000000000000e+03
6.275000000000000000e+01,2.221186706775273301e+00,1.221186706775273301e+00,-6.163464769397166212e-03,3.517000000000000000e+03
6.325000000000000000e+01,2.252720374342001897e+00,1.252720374342001897e+00,-2.447123260388198249e-03,3.624000000000000000e+03
6.375000000000000000e+01,2.138587182261338704e+00,1.138587182261338704e+00,-6.421784634761275486e-03,3.495000000000000000e+03
6.425000000000000000e+01,2.080129973566271495e+00,1.080129973566271495e+00,5.069570849181488648e-02,3.453000000000000000e+03
6.475000000000000000e+01,1.981103106419591420e+00,9.811031064195914198e-01,1.701111051410090710e-02,3.340000000000000000e+03
6.525000000000000000e+01,1.894785144779541186e+00,8.947851447795411861e-01,-4.537017073508593269e-03,3.244000000000000000e+03
6.575000000000000000e+01,1.738948781125936760e+00,7.389487811259367600e-01,-9.183912221761675668e-03,3.023000000000000000e+03
6.625000000000000000e+01,1.653874257334434050e+00,6.538742573344340503e-01,5.190019449336294444e-03,2.919000000000000000e+03
6.675000000000000000e+01,1.501377480807692955e+00,5.013774808076929546e-01,9.911004308674803767e-03,2.690000000000000000e+03
6.725000000000000000e+01,1.386757944465112580e+00,3.867579444651125797e-01,9.888382151131669927e-04,2.522000000000000000e+03
6.775000000000000000e+01,1.263968635480834379e+00,2.639686354808343793e-01,3.752845192261007341e-03,2.333000000000000000e+03
6.825000000000000000e+01,1.155826764729009692e+00,1.558267647290096924e-01,-4.275877913622259420e-03,2.165000000000000000e+03
6.875000000000000000e+01,1.056999274947496792e+00,5.699927494749679191e-02,-3.859930742777308976e-03,2.009000000000000000e+03
6.925000000000000000e+01,9.634880040947410018e-01,-3.651199590525899819e-02,-1.620970483501338322e-02,1.858000000000000000e+03
6.975000000000000000e+01,8.587386608419219636e-01,-1.412613391580780364e-01,1.661672029273469214e-02,1.680000000000000000e+03
7.025000000000000000e+01,7.467852030185436751e-01,-2.532147969814563249e-01,7.898849831324801854e-03,1.482000000000000000e+03
7.075000000000000000e+01,6.200145119138877892e-01,-3.799854880861122108e-01,8.749987922015738800e-03,1.248000000000000000e+03
7.125000000000000000e+01,5.457020825003736642e-01,-4.542979174996263358e-01,-6.595481783575656010e-03,1.114000000000000000e+03
7.175000000000000000e+01,5.033430377379687348e-01,-4.966569622620312652e-01,-1.209278589156457173e-03,1.042000000000000000e+03
7.225000000000000000e+01,4.087443312844860066e-01,-5.912556687155139379e-01,-9.024780682230990059e-03,8.580000000000000000e+02
7.275000000000000000e+01,3.528694815307253374e-01,-6.471305184692746071e-01,1.010854718438527339e-02,7.510000000000000000e+02
7.325000000000000000e+01,2.627894696883616987e-01,-7.372105303116383013e-01,1.599915224671909263e-03,5.670000000000000000e+02
7.375000000000000000e+01,2.084879461358928043e-01,-7.915120538641071679e-01,3.783959885943759260e-03,4.560000000000000000e+02
7.425000000000000000e+01,1.614842862601847118e-01,-8.385157137398152605e-01,-1.177548774968712082e-03,3.580000000000000000e+02
7.475000000000000000e+01,1.531003580038590162e-01,-8.468996419961409838e-01,1.850046469937315780e-03,3.440000000000000000e+02
7.525000000000000000e+01,1.335059842052962464e-01,-8.664940157947037536e-01,-4.947525082744941467e-03,3.040000000000000000e+02
7.575000000000000000e+01,1.521184879076541152e-01,-8.478815120923458570e-01,-2.415672358976480270e-03,3.510000000000000000e+02
7.625000000000000000e+01,1.646725425702222911e-01,-8.353274574297777644e-01,7.540987619231984129e-03,3.850000000000000000e+02
7.675000000000000000e+01,1.971515836346145190e-01,-8.028484163653855088e-01,1.725943126653859674e-03,4.670000000000000000e+02
7.725000000000000000e+01,2.679502424777933101e-01,-7.320497575222066899e-01,-2.303853487079207988e-04,6.430000000000000000e+02
7.775000000000000000e+01,3.101777977153076238e-01,-6.898222022846923762e-01,-3.570520260236400775e-03,7.540000000000000000e+02
7.825000000000000000e+01,3.732389651355322857e-01,-6.267610348644676588e-01,-3.026411088697893766e-03,9.190000000000000000e+02
7.875000000000000000e+01,4.731741820318380864e-01,-5.268258179681619691e-01,-7.440704485471044682e-03,1.180000000000000000e+03
7.925000000000000000e+01,5.250312336172446859e-01,-4.749687663827553141e-01,8.549010589435992319e-03,1.326000000000000000e+03
7.975000000000000000e+01,6.431979869158318541e-01,-3.568020130841681459e-01,6.949903709561143679e-03,1.645000000000000000e+03
8.025000000000000000e+01,7.595466199419604880e-01,-2.404533800580395120e-01,6.736332063212695752e-03,1.967000000000000000e+03
8.075000000000000000e+01,8.657269810373972030e-01,-1.342730189626027970e-01,-8.194596288722908600e-03,2.270000000000000000e+03
8.125000000000000000e+01,9.907159771164135709e-01,-9.284022883586429131e-03,-6.244735213246926583e-03,2.630000000000000000e+03
8.175000000000000000e+01,1.175105234043630542e+00,1.751052340436305421e-01,-2.151172008891803419e-02,3.158000000000000000e+03
8.225000000000000000e+01,1.241364738919010779e+00,2.413647389190107795e-01,1.297145389049231094e-02,3.377000000000000000e+03
8.275000000000000000e+01,1.402180600938764732e+00,4.021806009387647318e-01,-9.165093557671540048e-03,3.861000000000000000e+03
8.325000000000000000e+01,1.528555712404914502e+00,5.285557124049145017e-01,-2.984894649105065793e-03,4.260000000000000000e+03
8.375000000000000000e+01,1.661749205327942791e+00,6.617492053279427910e-01,-1.406883045654775538e-02,4.687000000000000000e+03
8.425000000000000000e+01,1.781872783429852891e+00,7.818727834298528911e-01,6.697522091519214973e-03,5.086000000000000000e+03
8.475000000000000000e+01,1.868932533675418339e+00,8.689325336754183393e-01,1.711215567327780112e-03,5.398000000000000000e+03
8.525000000000000000e+01,2.010976858968939407e+00,1.010976858968939407e+00,1.030903331592038751e-02,5.877000000000000000e+03
8.575000000000000000e+01,2.069775883608019562e+00,1.069775883608019562e+00,-4.810842618817413939e-04,6.120000000000000000e+03
8.625000000000000000e+01,2.157500530802547001e+00,1.157500530802547001e+00,1.801445528623122488e-02,6.454000000000000000e+03
8.675000000000000000e+01,2.227870479626852251e+00,1.227870479626852251e+00,2.270228647490957902e-02,6.742000000000000000e+03
8.725000000000000000e+01,2.287996858432268965e+00,1.287996858432268965e+00,1.660016848740919482e-02,7.004000000000000000e+03
8.775000000000000000e+01,2.280082747357531581e+00,1.280082747357531581e+00,-4.555730145741669623e-03,7.060000000000000000e+03
8.825000000000000000e+01,2.274435754326674886e+00,1.274435754326674886e+00,-4.631155467902579176e-03,7.123000000000000000e+03
8.875000000000000000e+01,2.268139478619671134e+00,1.268139478619671134e+00,9.864005122236325571e-03,7.184000000000000000e+03
8.925000000000000000e+01,2.294621440194569484e+00,1.294621440194569484e+00,1.366860998408943144e-02,7.350000000000000000e+03
8.975000000000000000e+01,2.196884286748875592e+00,1.196884286748875592e+00,-1.381549503271075306e-02,7.116000000000000000e+03
9.025000000000000000e+01,2.065444536983049417e+00,1.065444536983049417e+00,2.895250735247211979e-02,6.765000000000000000e+03
9.075000000000000000e+01,2.008928193259377881e+00,1.008928193259377881e+00,-1.723477908201146184e-03,6.653000000000000000e+03
9.125000000000000000e+01,1.908127099669955751e+00,9.081270996699557507e-01,6.768109648445912868e-03,6.389000000000000000e+03
9.175000000000000000e+01,1.775425624925366819e+00,7.754256249253668187e-01,-3.294827249851597049e-03,6.010000000000000000e+03
9.225000000000000000e+01,1.681424090875444977e+00,6.814240908754449766e-01,-3.361917527950822673e-03,5.754000000000000000e+03
9.275000000000000000e+01,1.601771164972995098e+00,6.017711649729950985e-01,9.419053157312607533e-03,5.541000000000000000e+03
9.325000000000000000e+01,1.434498189717720473e+00,4.344981897177204733e-01,7.491574911856212042e-03,5.016000000000000000e+03
9.375000000000000000e+01,1.304080235929859111e+00,3.040802359298591107e-01,8.793735714174949437e-04,4.609000000000000000e+03
9.425000000000000000e+01,1.206576076532707820e+00,2.065760765327078197e-01,4.881824585297977505e-03,4.310000000000000000e+03
9.475000000000000000e+01,1.062299772971189604e+00,6.229977297118960422e-02,-1.717594954639626789e-02,3.835000000000000000e+03
9.525000000000000000e+01,9.596266486258803186e-01,-4.037335137411968145e-02,-7.443823756416109022e-03,3.501000000000000000e+03
9.575000000000000000e+01,8.340800094205738091e-01,-1.659199905794261909e-01,-7.197712896647333845e-03,3.075000000000000000e+03
9.625000000000000000e+01,7.518856394002342292e-01,-2.481143605997657708e-01,1.808663368572523480e-03,2.801000000000000000e+03
9.675000000000000000e+01,6.854218048746569814e-01,-3.145781951253430186e-01,7.046399037875093752e-03,2.580000000000000000e+03
9.725000000000000000e+01,6.276439640901695372e-01,-3.723560359098304628e-01,1.259657508208273605e-03,2.387000000000000000e+03
9.775000000000000000e+01,5.587771907861331933e-01,-4.412228092138668067e-01,5.081740540962952773e-03,2.147000000000000000e+03
9.825000000000000000e+01,5.067332469969992870e-01,-4.932667530030007130e-01,1.733376828029842840e-03,1.967000000000000000e+03
9.875000000000000000e+01,4.781533701286713178e-01,-5.218466298713286822e-01,-2.777116617211493332e-03,1.875000000000000000e+03
9.925000000000000000e+01,4.624923953333126003e-01,-5.375076046666873442e-01,-3.993015534732400652e-03,1.832000000000000000e+03
9.975000000000000000e+01,4.478703934345206195e-01,-5.521296065654793805e-01,8.842830035194435565e-04,1.792000000000000000e+03
1.002500000000000000e+02,4.676632024111825325e-01,-5.323367975888174675e-01,-8.840658913953435656e-04,1.890000000000000000e+03
1.007500000000000000e+02,4.769973865363377197e-01,-5.230026134636622803e-01,-1.861857193732538223e-03,1.947000000000000000e+03
1.012500000000000000e+02,5.123231821522374885e-01,-4.876768178477625115e-01,4.013874990388397769e-03,2.112000000000000000e+03
1.017500000000000000e+02,5.709531897708939319e-01,-4.290468102291060681e-01,1.236852831850039896e-03,2.377000000000000000e+03
1.022500000000000000e+02,6.100998156256710603e-01,-3.899001843743289397e-01,-1.335796523863446968e-03,2.565000000000000000e+03
1.027500000000000000e+02,6.345620388962386338e-01,-3.654379611037613662e-01,1.669817665220646886e-03,2.694000000000000000e+03
1.032500000000000000e+02,6.757849757828516823e-01,-3.242150242171483177e-01,5.550536341180752065e-03,2.897000000000000000e+03
1.037500000000000000e+02,7.348989315943084133e-01,-2.651010684056915867e-01,-5.628649176281424679e-03,3.181000000000000000e+03
1.042500000000000000e+02,8.024607442438522753e-01,-1.975392557561477247e-01,3.850574088870259513e-03,3.507000000000000000e+03
1.047500000000000000e+02,8.560104750743171564e-01,-1.439895249256828436e-01,-4.778023672581978992e-03,3.777000000000000000e+03
1.052500000000000000e+02,8.918966109761570227e-01,-1.081033890238429773e-01,9.533352207954303662e-04,3.973000000000000000e+03
1.057500000000000000e+02,9.548638365449405585e-01,-4.513616345505944150e-02,9.024562189646438823e-04,4.294000000000000000e+03
1.062500000000000000e+02,9.436951919801794819e-01,-5.630480801982051808e-02,-1.217978286186007170e-03,4.284000000000000000e+03
1.067500000000000000e+02,9.953239685433127315e-01,-4.676031456687268495e-03,8.477669802632478669e-04,4.561000000000000000e+03
1.072500000000000000e+02,1.019791604268166063e+00,1.979160426816606311e-02,-1.634309912134217137e-03,4.717000000000000000e+03
1.077500000000000000e+02,1.016560741913177912e+00,1.656074191317791211e-02,-8.687779836914635108e-04,4.746000000000000000e+03
1.082500000000000000e+02,1.018863615711041115e+00,1.886361571104111512e-02,1.159856196863667289e-02,4.801000000000000000e+03
1.087500000000000000e+02,1.030753773333955570e+00,3.075377333395556967e-02,-4.853962216859476417e-03,4.902000000000000000e+03
1.092500000000000000e+02,9.996719584787501223e-01,-3.280415212498777322e-04,4.655703302442013893e-03,4.798000000000000000e+03
1.097500000000000000e+02,9.907905364464766329e-01,-9.209463553523367096e-03,-1.588228445860396685e-03,4.799000000000000000e+03
1.102500000000000000e+02,9.404971094778448171e-01,-5.950289052215518293e-02,5.598407742843515555e-03,4.597000000000000000e+03
1.107500000000000000e+02,8.902584919114395756e-01,-1.097415080885604244e-01,-9.396197043278203950e-04,4.391000000000000000e+03
1.112500000000000000e+02,8.457052840219511092e-01,-1.542947159780488908e-01,-2.148303675520317263e-04,4.209000000000000000e+03
1.117500000000000000e+02,8.176435950524280072e-01,-1.823564049475719928e-01,-7.332485864841525132e-04,4.106000000000000000e+03
1.122500000000000000e+02,7.440614573544346300e-01,-2.559385426455653700e-01,-9.760150419701507695e-04,3.770000000000000000e+03
1.127500000000000000e+02,7.018745431607029683e-01,-2.981254568392970317e-01,2.182527449301034823e-03,3.588000000000000000e+03
1.132500000000000000e+02,6.377164352309642181e-01,-3.622835647690357819e-01,-3.931032953096626897e-03,3.289000000000000000e+03
