q_nm^-1,I(q)_perVol,I_self_perVol,I_pair_perVol,I_pair0_perVol,I_pair2_perVol,Seff,Snn(q),O2(q),<|F|^2>,A0(q),A2(q),I0(q),I2(q)
2.768286630392066683e-04,1.233712242199962930e+02,1.233690699263651851e+02,2.154293631104276744e-03,2.154293631098314499e-03,5.962461044378545701e-15,1.000017462185881723e+00,6.832167597203658715e+01,2.335369700280117675e-05,3.855283435198912397e+06,9.999999999968173237e-01,7.978475853929269156e-06,1.674152735653203563e+05,5.807587996040919354e-02
2.899422853882875021e-04,1.233711281910754991e+02,1.233689743873104447e+02,2.153803765048648271e-03,2.153803765042071935e-03,6.576133246813054043e-15,1.000017458228665168e+00,6.830636765782250563e+01,2.348008225261453201e-05,3.855280449603451416e+06,9.999999999961701747e-01,8.752276152696391456e-06,1.673772049109832442e+05,5.839017429231074807e-02
3.036771118035457235e-04,1.233710228488823049e+02,1.233688695824092889e+02,2.153266473019546309e-03,2.153266473012178939e-03,7.367426088147221919e-15,1.000017453888329300e+00,6.828957728194072274e+01,2.397969820897872327e-05,3.855277174450290389e+06,9.999999999953909091e-01,9.601124386477675354e-06,1.673354506716401665e+05,5.963261724704427280e-02
3.180625692794118915e-04,1.233709072901960297e+02,1.233687546130235688e+02,2.152677172454912306e-03,2.152677172446544433e-03,8.367749131537338147e-15,1.000017449127854174e+00,6.827116163932761594e+01,2.482764260945648297e-05,3.855273581656986848e+06,9.999999999944535478e-01,1.053229919867395256e-05,1.672896547255137702e+05,6.174128197834316545e-02
3.331294787934673722e-04,1.233707805242032549e+02,1.233686284933634312e+02,2.152030839818668256e-03,2.152030839809053117e-03,9.615302287082454198e-15,1.000017443906656922e+00,6.825096374448176562e+01,2.600690527131484144e-05,3.855269640417607501e+06,9.999999999933256722e-01,1.155378517115409469e-05,1.672394266816892778e+05,6.467386763206917077e-02
3.489101213406773793e-04,1.233706414640042226e+02,1.233684901420356823e+02,2.151321968536598888e-03,2.151321968525442448e-03,1.115641661106933544e-14,1.000017438180252238e+00,6.822881151696005020e+01,2.750738765184557313e-05,3.855265316938615404e+06,9.999999999919679805e-01,1.267434129000342582e-05,1.671843386112115113e+05,6.840526119275291972e-02
3.654383070957254701e-04,1.233704889172954751e+02,1.233683383727724845e+02,2.150544522995244227e-03,2.150544522982196938e-03,1.304716987115550312e-14,1.000017431899880904e+00,6.820451634384319561e+01,2.932512159300404851e-05,3.855260574149140157e+06,9.999999999903347314e-01,1.390357605783561921e-05,1.671239214722299366e+05,7.292559466089798548e-02
3.827494478516310964e-04,1.233703215761491236e+02,1.233681718842608745e+02,2.149691888250745975e-03,2.149691888235390636e-03,1.535533209144430630e-14,1.000017425012103223e+00,6.817787150813731500e+01,3.146165667470815004e-05,3.855255371383152436e+06,9.999999999883687485e-01,1.525202988574300177e-05,1.670576612017539446e+05,7.823872152562383331e-02
4.008806328898464845e-04,1.233701380058015644e+02,1.233679892489865040e+02,2.148756815066501635e-03,2.148756815048339080e-03,1.816270744554319633e-14,1.000017417458354707e+00,6.814865047120046881e+01,3.392359103564130020e-05,3.855249664030828513e+06,9.999999999860030853e-01,1.673126548061792021e-05,1.669849944443981512e+05,8.436105001172222728e-02
4.198707084443910179e-04,1.233699366323550919e+02,1.233677889009952224e+02,2.147731359868047200e-03,2.147731359846479383e-03,2.156795221832313350e-14,1.000017409174461136e+00,6.811660499633293853e+01,3.672222505575763163e-05,3.855243403156100772e+06,9.999999999831568065e-01,1.835396699952751199e-05,1.669053038861341774e+05,9.132068185870123589e-02
