x,y,z,nx,ny,nz
1.500000000000000000e+03,1.500000000000000000e+03,1.500000000000000000e+03,-8.949978869970517392e-01,-1.741520536338115321e-01,-4.106699946257805767e-01
2.037010745738741093e+02,2.360956379999739966e+03,1.969000565327566392e+03,-8.549828529987084647e-01,-4.397230192787398573e-01,2.750417920872716415e-01
1.073440813450646829e+03,2.837049560455222945e+03,1.801340409461560341e+02,4.916384562824051008e-01,-4.776871525243825412e-01,7.280842070924220533e-01
1.957255846396964444e+03,1.655254105904625931e+03,1.792539759717153174e+03,-2.056781195610584700e-01,9.780650726129335171e-01,-3.294275137999581188e-02
1.684526715979083292e+03,1.188142308141079639e+03,2.366102129036698898e+03,6.100614208205226152e-01,7.754004649835383178e-01,-1.630312293082460950e-01
1.657240506474713015e+02,2.154111581110937095e+03,8.769520635124156342e+02,3.904938193184755435e-01,-6.961076474205470932e-01,-6.024522555993139239e-01
1.118994720127162054e+03,2.826437462947356380e+03,1.490220006327268152e+02,-1.173250802621128713e-01,9.259488413481854474e-01,3.589617928797460000e-01
1.682463150212568962e+03,1.137039029809097428e+03,2.390989524810413968e+03,-1.105757808014022278e-02,-2.197761176771589331e-01,-9.754876667932594891e-01
2.002078412046348376e+03,1.641393408949626064e+03,1.770612696535364648e+03,2.249490435331935947e-02,-1.404309759892510001e-01,-9.898348954552175227e-01
1.559407289261280084e+03,2.768135055550564630e+03,3.208691028585253235e+01,1.894077358265017774e-01,-9.480309567511073787e-01,-2.556599590288986534e-01
1.472888740617719805e+03,1.452708871322787445e+03,1.494675162731309911e+03,1.899219423499346610e-02,-9.167365857950982022e-01,3.990405102528899461e-01
1.949552116611177780e+03,2.175460099664028803e+03,2.738997520110977803e+03,-6.936158107877012924e-01,5.552602934579722316e-01,-4.588933574745733268e-01
1.678310319926945567e+03,1.144635086066145504e+03,2.340095975345482202e+03,-4.319759391548310679e-01,-8.825878799793640539e-01,1.855678369352657675e-01
1.361212385826620675e+03,1.463031988405645052e+03,1.922624488333484351e+03,-5.513775497355652977e-01,-2.749016301377010807e-01,-7.876622952733225436e-01
1.964616474827219690e+03,1.649947624639776450e+03,1.745901296846426249e+03,2.550563633309621547e-01,-1.358207565873087719e-01,-9.573395289052026857e-01
1.155763904393922303e+03,2.773444655780334870e+03,1.509198006664372542e+02,2.104299460820882872e-01,-9.115111585274743300e-01,-3.533647487678859278e-01
1.649601220023429050e+03,1.159475115693424868e+03,2.352478875644642812e+03,9.948553200245218581e-04,-9.518175560118340428e-01,3.066632523315294678e-01
1.546097079038718675e+03,2.802418955887885204e+03,0.000000000000000000e+00,-1.221190723424557013e-02,-1.987078456591098163e-01,9.799826842323376974e-01
2.019952855140378915e+03,1.626256971637272045e+03,1.713134787387944925e+03,-3.920129908895544392e-03,-9.504629439052507678e-01,3.108131671027816179e-01
2.346083274084134246e+03,1.931778365916415169e+03,1.456196958305691396e+03,-6.397894084632009537e-02,5.094982192976691415e-01,8.580898901983913252e-01
