x,y,z,nx,ny,nz
1.500000000000000000e+03,1.500000000000000000e+03,1.500000000000000000e+03,-2.026337247080393089e-01,-2.386813434191262153e-03,-9.792516922286000902e-01
4.014885868778297322e+02,4.263332563636156465e+02,6.556760268782346657e+02,1.177090321619461179e-02,9.865585533877890834e-01,-1.629836389790950690e-01
1.036495920151200380e+03,5.003290395969642645e+02,2.635677256597977248e+03,4.191495041114787767e-01,1.041127365840161939e-01,9.019280632534329989e-01
9.872827062835546030e+02,4.790803961573080301e+02,2.650057381688276109e+03,-4.877450446172200416e-02,9.745395643263703445e-01,-2.188462594541699113e-01
1.485129890152740700e+03,1.479656831138755024e+03,1.549462477066952715e+03,7.899973821672773289e-01,-8.290201819199623234e-02,6.074795400246355559e-01
1.536362445147923154e+03,1.510986788950066739e+03,1.527659473203552579e+03,-8.192980976944539417e-01,-4.622255401889331372e-01,3.392612225281546046e-01
1.420536196039243578e+03,1.507341767413962316e+03,1.546363645807915418e+03,1.138684911135252192e-02,9.895183488182832665e-01,1.439575528385144965e-01
1.488232228168586062e+03,1.527102798143716427e+03,1.567079172314266316e+03,-2.389762587635116120e-01,9.470516365795632607e-01,-2.144377424787109465e-01
3.850688145772820121e+02,2.102566738333614467e+02,1.906718495886738083e+03,-4.095649258159275719e-01,5.332018993336986590e-01,7.402380063792525222e-01
2.337633801463459349e+03,1.430084758017963622e+03,2.136591011685748924e+02,1.976069341590984130e-01,-5.571861098553265723e-01,8.065327882712083341e-01
6.530327684761494993e+02,2.188695216499559137e+03,9.592658403722039111e+02,9.687668642563436183e-01,2.278995142762880177e-01,9.773727084159422596e-02
1.445411472379426186e+03,1.540165764365354107e+03,1.502354819386310737e+03,3.075396186307189066e-03,4.058688871755282146e-01,-9.139261394451937415e-01
1.670325438799764470e+03,2.888794733917693520e+03,2.149598959652981193e+03,2.338282037113384726e-01,-9.626488939685868829e-01,1.364971724622356941e-01
4.528990422418282833e+02,4.388362318120617829e+02,6.701685820444735100e+02,3.718719092126925550e-03,1.570311910170580638e-01,-9.875866423641411762e-01
4.461667293092075965e+02,3.941413279321079131e+02,6.977407150786816601e+02,6.201642529954734008e-04,-9.475755166691927078e-01,-3.195313061429380652e-01
2.337673880680315506e+03,1.462723020043163160e+03,2.581088267883224034e+02,-5.786870016958262086e-02,9.498566775208799884e-01,3.072840798181348809e-01
4.410847483714663895e+02,3.479360626556513125e+02,7.348544284451654676e+02,-5.765683819980483053e-05,-2.300510886711006064e-01,9.731785515910892359e-01
2.375551698779960134e+03,1.726429437701082406e+03,1.450944720977223596e+03,6.137846213759692304e-01,-1.903770511668115839e-01,-7.661755784096666577e-01
5.068088405140466080e+02,7.862311838272717068e+02,9.004135629670935259e+02,-1.062749849135230101e-01,5.016561866696050975e-01,-8.585142386458950448e-01
4.607769700386833733e+02,7.756717630342186567e+02,9.214917092184091416e+02,2.866192259352613042e-02,5.043060850406245743e-01,-8.630491682310116319e-01
5.358538054765571133e+02,2.657494813299167618e+03,2.407004804543604450e+02,-3.225542296497921346e-01,-7.261504681555076557e-01,6.071772941510298338e-01
